=================================================
   ASSETS MISSING SOURCE LINKS REPORT
   Total Missing: 82
   Generated: 3/10/2026, 1:04:25 AM
=================================================

[2026-01-19] ETHOSFDF_Module04_SectionA_DragandDrop.mp4 | Uploader: dam1 | ID: 32f15349-c8a3-4d29-8094-95a47af9d7dc
[2026-01-21] ProTraining_Capsule03_Slider.m4v | Uploader: dam1 | ID: a94f2edd-0f67-43cc-94a5-2c7d8e836b71
[2026-01-19] ETHOSFDF_Module04_SectionA_CommunityIntelligence_TapandReveal2.mp4 | Uploader: dam1 | ID: b42206df-6963-4791-a296-a6709a3395a3
[2026-01-20] ETHOS_FDF_Module04_SectionB_EmotionalIntelligence_TapandReveal.m4v | Uploader: dam1 | ID: 71ad3460-bd18-4561-97f1-aacc01289cf5
[2026-01-20] ETHOS_FDF_Module04_SectionB_EmotionalIntelligence_TapandReveal2.m4v | Uploader: dam1 | ID: 4dc664bf-455a-4df8-8207-2001366b8403
[2026-01-20] ETHOS_FDF_Module04_SectionB_EmotionalIntelligence_Slider.m4v | Uploader: dam1 | ID: b1c232dc-7eb8-49c6-ab36-6b89194dad31
[2026-01-21] EtisalatAcademy_Scenario01_EN_TapandReveal.mp4 | Uploader: dam1 | ID: 0a3edfd2-e19f-4574-94d7-6c01cdb1dbb0
[2026-01-21] ProTraining_Capsule03_TapandReveal.m4v | Uploader: dam1 | ID: b3bacb97-359f-441e-8017-70f1bb1ad5b3
[2026-01-21] ProTraining_Capsule03_DragandDrop.m4v | Uploader: dam1 | ID: 26130dc7-5855-4039-b0ef-39449c024cbc
[2026-01-21] EtisalatAcademy_Scenario01_EN_Intro.mp4 | Uploader: dam1 | ID: daf40a2a-9982-4b20-9879-b0af53128704
[2026-01-21] EtisalatAcademy_Scenario02_EN_DragandDrop.mp4 | Uploader: dam1 | ID: 86e92f9f-252d-4574-b931-8a47288029ed
[2026-01-22] EtisalatAcademy_Scenario04_EN_Dial.m4v | Uploader: dam1 | ID: c22028be-cf5c-454f-afa9-61f9f12d9568
[2026-01-22] EtisalatAcademy_Scenario04_EN_Tapandreveal.m4v | Uploader: dam1 | ID: 3bc87182-e7ae-428e-9a90-9cff8031899b
[2026-01-23] FAB_CombatingFinancialCrime_TapandReveal.m4v | Uploader: dam1 | ID: 1e1752d7-f1d1-4f1e-b355-b2fb75584979
[2026-01-22] FAB_RegulatoryComplianceSimplified_TapandReveal.m4v | Uploader: dam1 | ID: f50b98dc-bc5c-4e4a-835a-0e95316ddf5a
[2026-01-23] FAB_CombatingFinancialCrime_TapandReveal2.m4v | Uploader: dam1 | ID: 99767b1f-9af8-4554-99aa-a6ff37a13216
[2026-01-23] Kerzner_CoC_DragandDrop.m4v | Uploader: dam1 | ID: c96e97ca-3fe3-4ba9-b42d-fb0306dcfed0
[2026-01-23] Kerzner_CoC_Slider.m4v | Uploader: dam1 | ID: a84b752f-7180-41e6-a6ac-7c9bbba52a1c
[2026-01-23] Kerzner_CoC_TapandReveal.m4v | Uploader: dam1 | ID: 13b964db-e6dc-41c6-aa8d-b92d8d41b710
[2026-01-26] Kerzner_Anti_Harassment_FreeNav_Slider.m4v | Uploader: dam1 | ID: 26e5bc50-209e-4b8f-ae97-4fa33b07c975
[2026-01-26] Kerzner_Anti_Harassment_FreeNav_DragandDrop.m4v | Uploader: dam1 | ID: 3acc207c-4a54-4489-b3ea-9d3eec894522
[2026-01-26] Kerzner_Anti_Harassment_FreeNav_TapandReveal.m4v | Uploader: dam1 | ID: 68e376e2-19d6-4bc8-9e6c-ba6bbd5c874c
[2026-01-26] Kerzner_LuxuryConsortia_Slider.m4v | Uploader: dam1 | ID: e358296b-aa3b-4b60-9008-b37ea56944d6
[2026-01-26] Kerzner_LuxuryConsortia_TapandReveal.m4v | Uploader: dam1 | ID: 247713d7-59d7-4721-bcc5-afe041455e72
[2026-01-26] Kerzner_SOP1_Freenav_TapandReveal.m4v | Uploader: dam1 | ID: e3ea980a-9416-4db5-8cbc-254400981fa5
[2026-01-27] Kerzner_Sales_Excellence_Module01_Slider.mp4 | Uploader: dam1 | ID: 42f99c52-d462-4d8b-a4b6-8189cfbd9c41
[2026-01-27] Kerzner_SOP4_freenav_TapandReveal.mp4 | Uploader: dam1 | ID: bf959f6d-bff6-494a-8664-1f367a77b19c
[2026-01-27] Kerzner_Sales_Excellence_Module01_TapandReveal.mp4 | Uploader: dam1 | ID: 426620a9-f566-4aa0-a007-72514a583e6f
[2026-01-28] Video_Generation_Request_Fulfilled.mp4 | Uploader: Perdausi Hairul | ID: 16c32345-7e0b-4180-973a-13e543d4250a
[2026-01-27] Kerzner_Sales_Excellence_Module01_Dial.mp4 | Uploader: dam1 | ID: bd588256-a7d0-4f9f-8e86-540c9ab35c44
[2026-01-27] Kerzner_Sales_Excellence_Module01_DragandDrop.mp4 | Uploader: dam1 | ID: 5c626eab-b97c-483b-a3cd-130ec2f84a31
[2026-01-28] Kerzner_Strategic_Selling_Module01_Slider.mp4 | Uploader: dam1 | ID: 46bfd222-bf34-4506-a89b-9bf03b55b44a
[2026-01-28] Kerzner_Strategic_Selling_Module01_TapandReveal.mp4 | Uploader: dam1 | ID: c00523fa-de33-459c-bf02-11b49166267a
[2026-01-28] Kerzner_Strategic_Selling_Module01_DragandDrop.mp4 | Uploader: dam1 | ID: dee9afe4-c763-42e8-8f59-bdcf5c71ba9c
[2026-01-28] EtisalatAcademy_Scenario04_EN_Dial2.m4v | Uploader: Perdausi Hairul | ID: 7cfea1c2-fb75-4811-9aa5-d4fe48feb4a8
[2026-01-29] 30118873_7669963.jpg | Uploader: Perdausi Hairul | ID: 70859736-c924-4562-b9f5-255bb70a669e
[2025-09-02] DPW_SecurityAwareness_Ungated_TapandReveal.mp4 | Uploader: Raf Pogi | ID: 4ff6bcae-4575-4f5e-ba66-18d8f820c0de
[2025-09-29] ADCB_Journey_Hover_ClickandReveal.mp4 | Uploader: Raf Pogi | ID: 58164bc5-4c7c-4fa3-b7eb-3460111e7686
[2025-08-26] DPW_Caucedo_General_Induction_TapandReveal_2.mp4 | Uploader: Raf Pogi | ID: 95e82bd2-1e0a-428f-ba79-f3df3c757632
[2025-08-24] ADCB_CPR_Module02_Slide10_Tap.mp4 | Uploader: Raf Pogi | ID: c200b68c-01ee-43a9-a0e7-64b5f3f1eba4
