Asset ID,Filename,Upload Date,Direct DAM Link,Google Drive Link (To Be Filled)
e8dc29d8-57bc-4097-8d92-c789f8d66ad0,"ADCB_Consumer Protection Regulations - Module 01_Slide03_Tap Interactive..mp4",2025-08-24,https://dam.capy-dev.com/assets/e8dc29d8-57bc-4097-8d92-c789f8d66ad0,
34001b32-78a6-4992-b506-aff69953dbfe,"heh",2025-09-29,https://dam.capy-dev.com/assets/34001b32-78a6-4992-b506-aff69953dbfe,
c58103a3-e6ab-4fb9-ab23-359e945706fb,"Adcb Journey Hover Clickandreveal-1.mp4",2025-09-29,https://dam.capy-dev.com/assets/c58103a3-e6ab-4fb9-ab23-359e945706fb,
8a330b4e-69c9-48f2-90cb-409dace924de,"screenshot-2026-01-15_11-20-44.png",2026-01-15,https://dam.capy-dev.com/assets/8a330b4e-69c9-48f2-90cb-409dace924de,
68465f9b-09e8-430d-907a-1693e7ee6cca,"Kerzner_CoC_Dial.m4v",2026-01-23,https://dam.capy-dev.com/assets/68465f9b-09e8-430d-907a-1693e7ee6cca,
8eeb957b-6ea8-4533-8e9e-7199dd1f2d5b,"Ethos_FDF_Module03_SectionB_PreventionAndPromotion_TapandReveal.mp4",2026-01-19,https://dam.capy-dev.com/assets/8eeb957b-6ea8-4533-8e9e-7199dd1f2d5b,
e37c9f7d-a8d5-4a44-b1d9-f23cfc09e511,"ProTraining_Capsule02_DragandDrop.m4v",2026-01-20,https://dam.capy-dev.com/assets/e37c9f7d-a8d5-4a44-b1d9-f23cfc09e511,
87eda400-39bf-43ab-8022-67670471b94c,"ProTraining_Capsule01_FreeNav_DragandDrop.m4v",2026-01-20,https://dam.capy-dev.com/assets/87eda400-39bf-43ab-8022-67670471b94c,
f009cd58-3b5f-4884-b702-5d3b50b30b62,"Ethos_FDF_Module03_SectionB_PreventionAndPromotion_Slider.mp4",2026-01-19,https://dam.capy-dev.com/assets/f009cd58-3b5f-4884-b702-5d3b50b30b62,
e22876e0-5b53-4a90-b8ed-6b22dbb09d71,"ETHOSFDF_Module04_SectionA_CommunityIntelligence_TapandReveal.mp4",2026-01-19,https://dam.capy-dev.com/assets/e22876e0-5b53-4a90-b8ed-6b22dbb09d71,
e3ac2c51-0df0-4ed4-8c1f-942300c21bec,"ETHOSFDF_Module04_SectionA_CommunityIntelligence_Slider.mp4",2026-01-19,https://dam.capy-dev.com/assets/e3ac2c51-0df0-4ed4-8c1f-942300c21bec,
